ServerName|Location|Type|Cores|Memory|Owner|OS|BuildDate|Health|LastReboot|LastInventory
SRVW0000024312|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2012-03-11|Good|2012-12-23|2013-10-20
SRVW0000024330|New York|VMware Virtual|2|16|Corporate|Windows 2008 R2|2012-11-20|Good|2013-04-29|2013-10-20
SRVW0000024345|Singapore|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-08-20|Good|2013-09-12|2013-10-20
SRVW0000024421|London|HP Proliant DL380 G5|4|16|Commodities|Windows 2003 R2|2012-09-23|Good|2013-03-31|2013-10-20
SRVW0000024455|London|HP Proliant DL380 G6|8|24|Equities|Windows 2008 R2|2011-09-30|Good|2012-10-02|2013-10-20
SRVW0000024531|London|HP Proliant DL380 G8|8|32|Retail|Windows 2008 R2|2011-01-23|Good|2012-05-30|2013-10-20
SRVW0000024593|London|VMware Virtual|2|16|FX|Windows 2008 R2|2013-04-23|Good|2013-07-15|2013-10-20
SRVU0000024672|London|VMware Virtual|2|16|Equities|RHEL 6|2012-02-12|Good|2012-12-09|2013-10-20
SRVW0000024720|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-12-20|Good|2012-11-12|2013-10-20
SRVW0000024735|Tokyo|HP Proliant DL380 G8|8|32|Retail|Windows 2008 R2|2013-02-09|Good|2013-06-08|2013-10-20
SRVW0000024825|London|HP Proliant DL380 G8|8|32|Wealth|Windows 2003 R2|2011-01-07|Good|2012-05-22|2013-10-20
SRVW0000024841|New York|HP Proliant DL380 G8|8|32|Corporate|Windows 2003 R2|2013-04-26|Good|2013-07-16|2013-10-20
SRVW0000024895|New York|VMware Virtual|2|16|Commodities|Windows 2008 R2|2012-11-28|Good|2013-05-03|2013-10-20
SRVW0000024983|London|HP Proliant DL380 G7|16|144|Commodities|Windows 2003 R2|2011-01-16|Good|2012-05-27|2013-10-20
SRVW0000024993|London|HP Proliant DL380 G5|8|16|Corporate|Windows 2003 R2|2012-09-10|Good|2013-03-24|2013-10-20
SRVU0000025025|New York|HP Proliant DL380 G5|4|8|FX|RHEL 6|2013-02-21|Good|2013-06-14|2013-10-20
SRVU0000025068|Singapore|HP Proliant DL380 G5|4|16|Equities|RHEL 6|2011-07-12|Good|2012-08-23|2013-10-20
SRVU0000025149|London|VMware Virtual|2|16|Retail|RHEL 6|2012-12-18|Good|2013-05-13|2013-10-20
SRVW0000025216|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2012-06-26|Good|2013-02-14|2013-10-20
SRVW0000025253|New York|HP Proliant DL380 G8|8|32|Commodities|Windows 2003 R2|2013-08-01|Good|2013-09-03|2013-10-20
SRVU0000025270|London|VMware Virtual|2|16|Corporate|RHEL 6|2012-10-29|Good|2013-04-18|2013-10-20
SRVW0000025351|Tokyo|HP Proliant DL380 G7|16|144|Equities|Windows 2008 R2|2011-02-14|Good|2012-06-10|2013-10-20
SRVU0000025375|London|VMware Virtual|2|16|Equities|RHEL 6|2011-03-27|Good|2012-07-01|2013-10-20
SRVW0000025392|London|HP Proliant DL380 G5|8|16|FX|Windows 2003 R2|2012-04-17|Good|2013-01-10|2013-10-20
SRVW0000025402|London|HP Proliant DL380 G5|8|32|FX|Windows 2003 R2|2013-03-02|Good|2013-06-19|2013-10-20
SRVW0000025432|Tokyo|HP Proliant DL380 G5|4|16|Corporate|Windows 2003 R2|2012-12-05|Good|2013-05-06|2013-10-20
SRVW0000025530|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2011-10-30|Good|2012-10-17|2013-10-20
SRVW0000025606|London|HP Proliant DL380 G5|8|16|Retail|Windows 2008 R2|2011-11-19|Good|2012-10-27|2013-10-20
SRVW0000025622|London|HP Proliant DL380 G8|8|32|Equities|Windows 2008 R2|2011-08-20|Good|2012-09-12|2013-10-20
SRVW0000025719|London|HP Proliant DL380 G6|8|48|Corporate|Windows 2003 R2|2011-10-29|Good|2012-10-17|2013-10-20
SRVW0000025723|Tokyo|VMware Virtual|2|16|Commodities|Windows 2003 R2|2011-09-26|Good|2012-09-30|2013-10-20
SRVW0000025800|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-05-09|Good|2013-07-23|2013-10-20
SRVU0000025852|London|HP Proliant DL380 G6|8|24|Retail|RHEL 6|2011-04-25|Good|2012-07-15|2013-10-20
SRVW0000025924|London|HP Proliant DL380 G5|8|64|Retail|Windows 2008 R2|2012-02-16|Good|2012-12-11|2013-10-20
SRVW0000026013|London|VMware Virtual|2|16|FX|Windows 2008 R2|2011-12-07|Good|2012-11-05|2013-10-20
SRVW0000026073|New York|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-10-21|Good|2012-10-13|2013-10-20
SRVW0000026075|London|HP Proliant DL380 G5|4|16|Commodities|Windows 2003 R2|2013-03-11|Good|2013-06-23|2013-10-20
SRVU0000026167|London|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2013-08-02|Good|2013-09-03|2013-10-20
SRVU0000026178|London|HP Proliant DL380 G5|8|16|Retail|RHEL 6|2012-08-26|Good|2013-03-17|2013-10-20
SRVW0000026184|London|HP Proliant DL380 G5|8|16|FX|Windows 2008 R2|2011-03-01|Good|2012-06-18|2013-10-20
SRVW0000026262|Singapore|VMware Virtual|2|16|Wealth|Windows 2003 R2|2012-07-21|Good|2013-02-27|2013-10-20
SRVW0000026269|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-06-29|Good|2013-08-17|2013-10-20
SRVW0000026303|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-06-29|Good|2012-08-17|2013-10-20
SRVU0000026323|London|HP Proliant DL380 G7|16|72|Retail|RHEL 6|2012-02-02|Good|2012-12-04|2013-10-20
SRVU0000026404|London|HP Proliant DL380 G7|16|64|Retail|RHEL 6|2013-05-07|Good|2013-07-22|2013-10-20
SRVW0000026468|London|HP Proliant DL380 G5|4|16|FX|Windows 2003 R2|2013-07-03|Good|2013-08-19|2013-10-20
SRVW0000026566|Tokyo|HP Proliant DL380 G7|16|72|Equities|Windows 2008 R2|2011-06-05|Good|2012-08-05|2013-10-20
SRVW0000026620|New York|HP Proliant DL380 G5|4|8|Wealth|Windows 2003 R2|2011-05-17|Good|2012-07-26|2013-10-20
SRVW0000026689|New York|VMware Virtual|2|16|FX|Windows 2003 R2|2012-12-16|Good|2013-05-12|2013-10-20
SRVU0000026781|London|VMware Virtual|2|16|FX|RHEL 6|2013-07-24|Good|2013-08-30|2013-10-20
SRVU0000026820|New York|HP Proliant DL380 G5|4|8|Retail|RHEL 6|2012-06-07|Good|2013-02-05|2013-10-20
SRVW0000026883|London|VMware Virtual|2|16|Equities|Windows 2003 R2|2013-08-10|Good|2013-09-07|2013-10-20
SRVW0000026901|Singapore|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-06-08|Good|2013-08-07|2013-10-20
SRVW0000026965|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-08-26|Good|2012-09-15|2013-10-20
SRVW0000027039|London|HP Proliant DL380 G7|16|144|FX|Windows 2008 R2|2011-04-18|Good|2012-07-12|2013-10-20
SRVW0000027040|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-05-13|Good|2013-01-23|2013-10-20
SRVW0000027075|London|VMware Virtual|2|16|Commodities|Windows 2003 R2|2011-12-13|Good|2012-11-08|2013-10-20
SRVW0000027113|London|HP Proliant DL380 G5|4|8|Retail|Windows 2008 R2|2013-06-27|Good|2013-08-16|2013-10-20
SRVW0000027150|London|HP Proliant DL380 G7|16|144|Retail|Windows 2008 R2|2011-06-01|Good|2012-08-03|2013-10-20
SRVW0000027231|London|HP Proliant DL380 G7|16|144|Wealth|Windows 2003 R2|2010-12-14|Good|2012-05-10|2013-10-20
SRVW0000027294|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-07-14|Good|2013-02-23|2013-10-20
SRVW0000027342|New York|VMware Virtual|2|16|Equities|Windows 2008 R2|2013-04-27|Good|2013-07-17|2013-10-20
SRVU0000027355|London|VMware Virtual|2|16|Retail|RHEL 6|2012-06-15|Good|2013-02-09|2013-10-20
SRVW0000027410|London|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2013-04-22|Good|2013-07-14|2013-10-20
SRVW0000027434|Tokyo|HP Proliant DL380 G8|8|32|FX|Windows 2003 R2|2013-01-30|Good|2013-06-03|2013-10-20
SRVW0000027444|London|HP Proliant DL380 G7|16|144|Equities|Windows 2008 R2|2011-08-19|Good|2012-09-11|2013-10-20
SRVU0000027447|New York|VMware Virtual|2|16|Equities|RHEL 6|2011-11-05|Good|2012-10-20|2013-10-20
SRVW0000027452|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2012-07-11|Good|2013-02-22|2013-10-20
SRVU0000027468|London|HP Proliant DL380 G5|8|16|Retail|RHEL 6|2011-04-13|Good|2012-07-09|2013-10-20
SRVW0000027554|London|HP Proliant DL380 G6|8|24|Retail|Windows 2008 R2|2012-01-10|Good|2012-11-22|2013-10-20
SRVW0000027565|London|VMware Virtual|2|16|FX|Windows 2008 R2|2011-01-03|Good|2012-05-20|2013-10-20
SRVW0000027649|London|HP Proliant DL380 G5|4|16|Wealth|Windows 2003 R2|2013-01-28|Good|2013-06-02|2013-10-20
SRVU0000027694|New York|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2012-05-10|Good|2013-01-22|2013-10-20
SRVU0000027722|London|HP Proliant DL380 G7|16|144|Retail|RHEL 5|2013-08-23|Good|2013-09-14|2013-10-20
SRVW0000027754|London|HP Proliant DL380 G5|8|16|Commodities|Windows 2003 R2|2012-08-23|Good|2013-03-15|2013-10-20
SRVW0000027767|London|HP Proliant DL380 G8|8|16|Retail|Windows 2008 R2|2013-03-03|Good|2013-06-19|2013-10-20
SRVU0000027793|London|HP Proliant DL380 G5|8|16|Retail|RHEL 6|2012-07-26|Good|2013-03-01|2013-10-20
SRVW0000027846|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-02-14|Good|2012-06-10|2013-10-20
SRVU0000027870|London|VMware Virtual|2|16|FX|RHEL 6|2011-11-27|Good|2012-10-31|2013-10-20
SRVW0000027950|New York|HP Proliant DL380 G6|8|24|Commodities|Windows 2003 R2|2012-01-10|Good|2012-11-22|2013-10-20
SRVW0000027973|London|VMware Virtual|2|16|Corporate|Windows 2003 R2|2011-07-06|Good|2012-08-20|2013-10-20
SRVW0000027994|New York|HP Proliant DL380 G5|8|32|Retail|Windows 2008 R2|2013-03-23|Good|2013-06-29|2013-10-20
SRVU0000028015|London|VMware Virtual|2|16|Equities|RHEL 6|2012-01-10|Good|2012-11-22|2013-10-20
SRVW0000028072|New York|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-12-19|Good|2013-05-13|2013-10-20
SRVW0000028129|London|HP Proliant DL380 G8|8|32|Retail|Windows 2008 R2|2012-10-14|Good|2013-04-10|2013-10-20
SRVU0000028190|London|HP Proliant DL380 G5|4|8|Equities|RHEL 6|2011-03-20|Good|2012-06-27|2013-10-20
SRVW0000028195|New York|VMware Virtual|2|16|Corporate|Windows 2003 R2|2010-12-27|Good|2012-05-17|2013-10-20
SRVU0000028277|New York|VMware Virtual|2|16|Commodities|RHEL 5|2012-06-20|Good|2013-02-11|2013-10-20
SRVW0000028347|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-06-13|Good|2013-08-09|2013-10-20
SRVU0000028370|London|VMware Virtual|2|16|Retail|RHEL 6|2012-02-09|Good|2012-12-07|2013-10-20
SRVW0000028392|London|HP Proliant DL380 G7|16|64|Corporate|Windows 2003 R2|2012-11-29|Good|2013-05-03|2013-10-20
SRVW0000028468|London|HP Proliant DL380 G5|8|16|Equities|Windows 2008 R2|2011-04-03|Good|2012-07-04|2013-10-20
SRVW0000028526|London|VMware Virtual|2|16|FX|Windows 2003 R2|2013-09-01|Good|2013-09-18|2013-10-20
SRVU0000028616|New York|HP Proliant DL380 G5|4|8|Retail|RHEL 6|2012-09-12|Good|2013-03-25|2013-10-20
SRVW0000028653|London|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2011-04-02|Good|2012-07-04|2013-10-20
SRVW0000028689|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-04-04|Good|2012-07-05|2013-10-20
SRVW0000028780|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-12-25|Good|2013-05-16|2013-10-20
SRVW0000028782|London|VMware Virtual|2|16|FX|Windows 2008 R2|2012-01-15|Good|2012-11-25|2013-10-20
SRVW0000028857|London|HP Proliant DL380 G5|4|8|Corporate|Windows 2003 R2|2011-04-22|Good|2012-07-14|2013-10-20
SRVW0000028933|London|HP Proliant DL380 G8|8|32|FX|Windows 2008 R2|2011-12-27|Good|2012-11-15|2013-10-20
SRVU0000028985|London|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2011-07-01|Good|2012-08-18|2013-10-20
SRVU0000029080|London|HP Proliant DL380 G6|8|24|Retail|RHEL 6|2012-05-31|Good|2013-02-01|2013-10-20
SRVW0000029126|London|HP Proliant DL380 G5|4|8|FX|Windows 2003 R2|2012-05-14|Good|2013-01-24|2013-10-20
SRVW0000029206|New York|HP Proliant DL380 G7|16|64|Corporate|Windows 2008 R2|2012-04-28|Good|2013-01-16|2013-10-20
SRVU0000029280|London|VMware Virtual|2|16|FX|RHEL 5|2011-06-29|Good|2012-08-17|2013-10-20
SRVW0000029311|London|HP Proliant DL380 G8|8|32|FX|Windows 2003 R2|2012-01-05|Good|2012-11-20|2013-10-20
SRVW0000029340|London|HP Proliant DL380 G8|8|32|Retail|Windows 2008 R2|2011-05-04|Good|2012-07-20|2013-10-20
SRVW0000029439|London|VMware Virtual|2|16|Wealth|Windows 2008 R2|2011-08-09|Good|2012-09-06|2013-10-20
SRVW0000029489|London|HP Proliant DL380 G7|16|144|FX|Windows 2008 R2|2011-04-01|Good|2012-07-03|2013-10-20
SRVW0000029556|Singapore|VMware Virtual|2|16|Commodities|Windows 2003 R2|2012-05-04|Good|2013-01-19|2013-10-20
SRVW0000029644|London|VMware Virtual|2|16|FX|Windows 2008 R2|2012-10-03|Good|2013-04-05|2013-10-20
SRVW0000029735|New York|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-02-05|Good|2012-06-06|2013-10-20
SRVW0000029752|London|HP Proliant DL380 G5|4|16|Retail|Windows 2008 R2|2013-01-17|Good|2013-05-28|2013-10-20
SRVU0000029755|London|HP Proliant DL380 G5|4|8|Retail|RHEL 6|2011-02-02|Good|2012-06-04|2013-10-20
SRVW0000029827|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-10-28|Good|2012-10-16|2013-10-20
SRVW0000029842|London|HP Proliant DL380 G7|16|64|FX|Windows 2008 R2|2013-06-04|Good|2013-08-05|2013-10-20
SRVW0000029860|New York|HP Proliant DL380 G7|16|64|Wealth|Windows 2003 R2|2011-05-09|Good|2012-07-22|2013-10-20
SRVU0000029935|New York|VMware Virtual|2|16|Retail|RHEL 6|2013-06-19|Good|2013-08-12|2013-10-20
SRVW0000029937|London|VMware Virtual|2|16|Commodities|Windows 2008 R2|2011-04-20|Good|2012-07-13|2013-10-20
SRVW0000029969|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-04-12|Good|2012-07-09|2013-10-20
SRVU0000029983|London|VMware Virtual|2|16|Retail|RHEL 5|2012-03-19|Good|2012-12-27|2013-10-20
SRVW0000030082|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2011-07-04|Good|2012-08-19|2013-10-20
SRVW0000030182|Tokyo|VMware Virtual|2|16|Wealth|Windows 2003 R2|2012-12-19|Good|2013-05-13|2013-10-20
SRVW0000030246|London|VMware Virtual|2|16|Commodities|Windows 2008 R2|2012-06-21|Good|2013-02-12|2013-10-20
SRVW0000030309|London|HP Proliant DL380 G7|16|64|Wealth|Windows 2008 R2|2013-07-12|Good|2013-08-24|2013-10-20
SRVW0000030406|London|HP Proliant DL380 G5|4|8|FX|Windows 2003 R2|2011-08-08|Good|2012-09-06|2013-10-20
SRVU0000030427|London|HP Proliant DL380 G7|16|64|Retail|RHEL 6|2013-04-21|Good|2013-07-14|2013-10-20
SRVW0000030463|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-12-04|Good|2013-05-06|2013-10-20
SRVU0000030538|London|HP Proliant DL380 G8|8|32|Equities|RHEL 6|2011-03-29|Good|2012-07-02|2013-10-20
SRVW0000030615|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-07-03|Good|2012-08-19|2013-10-20
SRVU0000030669|London|HP Proliant DL380 G7|16|64|Retail|RHEL 6|2011-07-05|Good|2012-08-20|2013-10-20
SRVW0000030708|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2011-05-09|Good|2012-07-22|2013-10-20
SRVW0000030755|London|HP Proliant DL380 G5|4|16|Commodities|Windows 2003 R2|2011-10-29|Good|2012-10-17|2013-10-20
SRVW0000030829|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2013-02-28|Good|2013-06-18|2013-10-20
SRVW0000030848|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-01-05|Good|2012-11-20|2013-10-20
SRVU0000030946|London|VMware Virtual|2|16|Equities|RHEL 6|2011-03-30|Good|2012-07-02|2013-10-20
SRVW0000031003|New York|VMware Virtual|2|16|Corporate|Windows 2008 R2|2012-06-05|Good|2013-02-04|2013-10-20
SRVW0000031061|London|HP Proliant DL380 G5|8|64|FX|Windows 2003 R2|2013-02-05|Good|2013-06-06|2013-10-20
SRVW0000031085|London|HP Proliant DL380 G7|16|64|Wealth|Windows 2008 R2|2011-11-22|Good|2012-10-29|2013-10-20
SRVU0000031127|New York|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2011-02-13|Good|2012-06-10|2013-10-20
SRVU0000031160|London|VMware Virtual|2|16|FX|RHEL 6|2011-12-05|Good|2012-11-04|2013-10-20
SRVW0000031242|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2011-11-08|Good|2012-10-22|2013-10-20
SRVW0000031251|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-10-26|Good|2013-04-16|2013-10-20
SRVW0000031293|Tokyo|HP Proliant DL380 G8|8|32|Wealth|Windows 2003 R2|2012-06-28|Good|2013-02-15|2013-10-20
SRVW0000031364|New York|HP Proliant DL380 G8|8|64|Corporate|Windows 2003 R2|2012-05-03|Good|2013-01-18|2013-10-20
SRVW0000031416|London|VMware Virtual|2|16|FX|Windows 2003 R2|2011-09-20|Good|2012-09-27|2013-10-20
SRVU0000031440|London|VMware Virtual|2|16|Retail|RHEL 6|2012-09-04|Good|2013-03-21|2013-10-20
SRVU0000031527|London|VMware Virtual|2|16|Retail|RHEL 6|2013-01-20|Good|2013-05-29|2013-10-20
SRVU0000031620|London|VMware Virtual|2|16|Equities|RHEL 6|2012-03-16|Good|2012-12-25|2013-10-20
SRVW0000031698|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2012-12-20|Good|2013-05-14|2013-10-20
SRVW0000031721|London|HP Proliant DL380 G7|16|64|Retail|Windows 2008 R2|2013-03-14|Good|2013-06-25|2013-10-20
SRVW0000031735|London|VMware Virtual|2|16|Commodities|Windows 2003 R2|2012-02-13|Good|2012-12-09|2013-10-20
SRVW0000031828|London|VMware Virtual|2|16|Wealth|Windows 2003 R2|2011-10-28|Good|2012-10-16|2013-10-20
SRVU0000031906|Singapore|HP Proliant DL380 G5|8|16|Retail|RHEL 6|2011-11-21|Good|2012-10-28|2013-10-20
SRVW0000031940|London|HP Proliant DL380 G8|8|32|Wealth|Windows 2003 R2|2012-11-03|Good|2013-04-20|2013-10-20
SRVU0000032008|London|VMware Virtual|2|16|Equities|RHEL 6|2012-06-13|Good|2013-02-08|2013-10-20
SRVW0000032060|London|HP Proliant DL380 G7|16|64|Corporate|Windows 2008 R2|2012-11-26|Good|2013-05-02|2013-10-20
SRVW0000032075|London|HP Proliant DL380 G8|8|32|FX|Windows 2008 R2|2013-03-28|Good|2013-07-02|2013-10-20
SRVW0000032133|London|VMware Virtual|2|16|Commodities|Windows 2008 R2|2011-07-14|Good|2012-08-24|2013-10-20
SRVW0000032229|London|HP Proliant DL380 G5|8|16|Retail|Windows 2008 R2|2012-05-10|Good|2013-01-22|2013-10-20
SRVW0000032277|London|HP Proliant DL380 G5|8|16|Corporate|Windows 2003 R2|2011-04-07|Good|2012-07-06|2013-10-20
SRVW0000032333|New York|VMware Virtual|2|16|FX|Windows 2008 R2|2011-05-27|Good|2012-07-31|2013-10-20
SRVU0000032368|London|HP Proliant DL380 G7|16|144|Retail|RHEL 6|2013-05-29|Good|2013-08-02|2013-10-20
SRVW0000032388|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-08-07|Good|2013-03-07|2013-10-20
SRVW0000032427|London|VMware Virtual|2|16|FX|Windows 2008 R2|2012-06-14|Good|2013-02-08|2013-10-20
SRVU0000032442|New York|VMware Virtual|2|16|Retail|RHEL 6|2012-06-27|Good|2013-02-15|2013-10-20
SRVW0000032483|London|HP Proliant DL380 G7|16|144|Corporate|Windows 2003 R2|2011-11-30|Good|2012-11-02|2013-10-20
SRVU0000032488|New York|HP Proliant DL380 G6|8|24|Equities|RHEL 6|2012-12-29|Good|2013-05-18|2013-10-20
SRVU0000032495|London|HP Proliant DL380 G7|16|144|Retail|RHEL 6|2011-08-16|Good|2012-09-10|2013-10-20
SRVW0000032576|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-11-09|Good|2013-04-23|2013-10-20
SRVU0000032670|Tokyo|HP Proliant DL380 G7|16|144|Equities|RHEL 6|2012-12-21|Good|2013-05-14|2013-10-20
SRVW0000032732|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-07-06|Good|2013-02-19|2013-10-20
SRVW0000032791|Singapore|HP Proliant DL380 G7|16|64|FX|Windows 2003 R2|2012-10-29|Good|2013-04-18|2013-10-20
SRVW0000032868|London|VMware Virtual|2|16|Wealth|Windows 2008 R2|2012-12-14|Good|2013-05-11|2013-10-20
SRVW0000032968|London|VMware Virtual|2|16|FX|Windows 2008 R2|2011-02-25|Good|2012-06-16|2013-10-20
SRVW0000032987|Tokyo|VMware Virtual|2|16|Corporate|Windows 2008 R2|2012-02-11|Good|2012-12-08|2013-10-20
SRVW0000033072|New York|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2012-03-10|Good|2012-12-22|2013-10-20
SRVW0000033149|Singapore|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-09-17|Good|2013-03-28|2013-10-20
SRVW0000033238|London|HP Proliant DL380 G7|16|64|Wealth|Windows 2008 R2|2010-12-22|Good|2012-05-14|2013-10-20
SRVU0000033243|New York|HP Proliant DL380 G7|4|32|Equities|RHEL 6|2011-09-12|Good|2012-09-23|2013-10-20
SRVW0000033298|London|HP Proliant DL380 G7|16|64|Corporate|Windows 2003 R2|2011-06-30|Good|2012-08-17|2013-10-20
SRVU0000033320|London|VMware Virtual|2|16|Retail|RHEL 6|2012-12-01|Good|2013-05-04|2013-10-20
SRVW0000033333|London|HP Proliant DL380 G8|8|32|Retail|Windows 2008 R2|2013-04-13|Good|2013-07-10|2013-10-20
SRVW0000033393|London|HP Proliant DL380 G7|16|64|Retail|Windows 2008 R2|2013-03-22|Good|2013-06-29|2013-10-20
SRVW0000033405|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-10-18|Good|2013-04-12|2013-10-20
SRVW0000033432|London|HP Proliant DL380 G8|8|32|Retail|Windows 2008 R2|2012-03-26|Good|2012-12-30|2013-10-20
SRVU0000033502|London|VMware Virtual|2|16|Retail|RHEL 6|2011-01-14|Good|2012-05-26|2013-10-20
SRVW0000033543|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-01-08|Good|2013-05-23|2013-10-20
SRVU0000033607|London|HP Proliant DL380 G7|16|144|Equities|RHEL 6|2011-05-26|Good|2012-07-31|2013-10-20
SRVW0000033653|New York|HP Proliant DL380 G6|8|24|FX|Windows 2003 R2|2012-09-28|Good|2013-04-02|2013-10-20
SRVW0000033742|New York|VMware Virtual|2|16|Wealth|Windows 2003 R2|2013-03-07|Good|2013-06-21|2013-10-20
SRVW0000033750|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2012-10-04|Good|2013-04-05|2013-10-20
SRVW0000033764|New York|HP Proliant DL380 G7|16|144|FX|Windows 2003 R2|2012-12-06|Good|2013-05-07|2013-10-20
SRVW0000033816|Singapore|HP Proliant DL380 G5|8|16|Corporate|Windows 2003 R2|2011-02-08|Good|2012-06-07|2013-10-20
SRVW0000033880|Singapore|HP Proliant DL380 G5|4|16|FX|Windows 2003 R2|2012-09-20|Good|2013-03-29|2013-10-20
SRVW0000033966|London|VMware Virtual|2|16|Corporate|Windows 2008 R2|2013-01-25|Good|2013-06-01|2013-10-20
SRVU0000033973|Singapore|VMware Virtual|2|16|FX|RHEL 5|2011-01-19|Good|2012-05-28|2013-10-20
SRVW0000033982|New York|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-05-03|Good|2013-07-20|2013-10-20
SRVW0000033991|London|HP Proliant DL380 G7|16|64|Equities|Windows 2008 R2|2012-10-23|Good|2013-04-15|2013-10-20
SRVW0000034014|New York|VMware Virtual|2|16|Retail|Windows 2008 R2|2013-04-11|Good|2013-07-09|2013-10-20
SRVW0000034097|London|VMware Virtual|2|16|Equities|Windows 2008 R2|2013-02-23|Good|2013-06-15|2013-10-20
SRVU0000034144|London|VMware Virtual|2|16|Equities|RHEL 6|2011-08-18|Good|2012-09-11|2013-10-20
SRVU0000034159|New York|HP Proliant DL380 G8|8|32|Equities|RHEL 6|2013-07-06|Good|2013-08-21|2013-10-20
SRVW0000034173|New York|VMware Virtual|2|16|Equities|Windows 2008 R2|2011-06-12|Good|2012-08-08|2013-10-20
SRVW0000034204|New York|VMware Virtual|2|16|Corporate|Windows 2003 R2|2012-04-05|Good|2013-01-04|2013-10-20
SRVW0000034264|New York|VMware Virtual|2|16|Equities|Windows 2003 R2|2011-07-17|Good|2012-08-26|2013-10-20
SRVW0000034346|Singapore|VMware Virtual|2|16|Retail|Windows 2008 R2|2012-08-18|Good|2013-03-13|2013-10-20
SRVU0000034393|London|HP Proliant DL380 G5|4|8|Equities|RHEL 6|2011-11-14|Good|2012-10-25|2013-10-20
SRVW0000034443|London|VMware Virtual|2|16|FX|Windows 2003 R2|2012-01-31|Good|2012-12-03|2013-10-20
SRVW0000034531|London|VMware Virtual|2|16|FX|Windows 2008 R2|2011-02-13|Good|2012-06-10|2013-10-20
SRVW0000034585|London|VMware Virtual|2|16|Retail|Windows 2008 R2|2011-12-18|Good|2012-11-11|2013-10-20
SRVU0000034669|London|HP Proliant DL380 G7|16|72|Retail|RHEL 6|2011-10-27|Good|2012-10-16|2013-10-20
SRVW0000034768|London|HP Proliant DL380 G7|16|144|FX|Windows 2003 R2|2012-11-24|Good|2013-05-01|2013-10-20
SRVU0000034786|London|VMware Virtual|2|16|FX|RHEL 6|2010-12-29|Good|2012-05-18|2013-10-20
SRVW0000034876|New York|VMware Virtual|2|16|Corporate|Windows 2008 R2|2011-06-12|Good|2012-08-08|2013-10-20
SRVU0000034925|Tokyo|HP Proliant DL380 G8|8|32|Retail|RHEL 6|2012-05-13|Good|2013-01-23|2013-10-20
SRVU0000035003|London|HP Proliant DL380 G7|16|64|Retail|RHEL 6|2011-03-25|Good|2012-06-30|2013-10-20
SRVU0000035016|London|HP Proliant DL380 G8|8|32|FX|RHEL 5|2011-09-27|Good|2012-10-01|2013-10-20
SRVU0000035043|London|VMware Virtual|2|16|Retail|RHEL 6|2012-07-12|Good|2013-02-22|2013-10-20
SRVU0000035047|London|VMware Virtual|2|16|Retail|RHEL 6|2013-07-20|Good|2013-08-28|2013-10-20
